               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10435,            0.011694,                   0,             0.91632,             0.38889,             0.48901,             0.20676,            0.084599,           0.0097058,                   0,              0.0982,              0.0002,              0.0002
                   1,            0.099379,             0.01204,                   0,             0.89294,             0.38889,             0.52538,             0.22536,            0.085475,           0.0094819,                   0,            0.095483,           0.0004835,           0.0004835
                   2,             0.09877,             0.01099,                   0,             0.83424,             0.38889,             0.47188,             0.17508,              0.0855,           0.0096052,                   0,            0.092747,           0.0007472,           0.0007472
                   3,            0.098347,            0.013809,                   0,             0.67896,             0.38889,             0.44852,            0.095642,             0.08765,           0.0093777,                   0,            0.089991,           0.0009911,           0.0009911
                   4,            0.092433,            0.013829,                   0,             0.37513,             0.44444,             0.30854,            0.073843,            0.089279,           0.0092209,                   0,            0.087215,           0.0012152,           0.0012152
                   5,            0.097251,            0.012442,                   0,              0.3392,                 0.5,             0.21938,             0.04878,             0.10035,           0.0080099,                   0,             0.08442,           0.0014195,           0.0014195
                   6,             0.09625,              0.0111,                   0,             0.49661,             0.49361,             0.43563,             0.10325,            0.098654,           0.0080492,                   0,            0.081604,            0.001604,            0.001604
                   7,              0.1002,            0.011695,                   0,             0.68466,             0.33333,             0.41703,             0.14263,            0.094015,           0.0086279,                   0,            0.078769,           0.0017687,           0.0017687
                   8,             0.10013,            0.011792,                   0,             0.47437,             0.44444,             0.39912,             0.13112,             0.08994,           0.0086847,                   0,            0.075914,           0.0019136,           0.0019136
                   9,             0.10126,            0.011628,                   0,             0.76162,             0.38889,             0.48973,             0.16087,            0.088166,           0.0089032,                   0,            0.073039,           0.0020387,           0.0020387
                  10,            0.098359,            0.012313,                   0,             0.87969,             0.38889,             0.47417,             0.14087,            0.093665,           0.0082128,                   0,            0.070144,            0.002144,            0.002144
                  11,             0.10073,            0.010314,                   0,             0.87411,             0.38889,             0.49428,             0.11104,            0.097719,           0.0077761,                   0,            0.067229,           0.0022295,           0.0022295
                  12,             0.09932,            0.010723,                   0,             0.55827,             0.55556,             0.51947,             0.17649,            0.088562,           0.0087592,                   0,            0.064295,           0.0022952,           0.0022952
                  13,            0.093902,            0.013489,                   0,             0.44048,             0.43771,             0.36074,            0.072318,            0.090328,           0.0090738,                   0,            0.061341,           0.0023411,           0.0023411
                  14,            0.098645,            0.012097,                   0,             0.32457,             0.44444,             0.28956,            0.053151,            0.094642,           0.0086692,                   0,            0.058367,           0.0023672,           0.0023672
                  15,            0.091907,             0.01147,                   0,             0.95544,             0.38889,             0.51041,             0.13601,             0.09183,           0.0086017,                   0,            0.055374,           0.0023735,           0.0023735
                  16,            0.091129,            0.012204,                   0,             0.76072,             0.38889,             0.44905,             0.11985,            0.091446,           0.0084279,                   0,             0.05236,             0.00236,             0.00236
                  17,            0.098713,            0.011333,                   0,              0.8207,             0.38889,             0.52414,             0.16358,            0.087591,           0.0085452,                   0,            0.049327,           0.0023267,           0.0023267
                  18,            0.093642,            0.010741,                   0,             0.39458,             0.44444,              0.3287,             0.11179,            0.088206,           0.0086802,                   0,            0.046274,           0.0022736,           0.0022736
                  19,            0.093921,            0.013325,                   0,             0.79659,             0.43591,             0.50189,             0.14431,            0.090619,           0.0086274,                   0,            0.043201,           0.0022007,           0.0022007
                  20,            0.088271,            0.012534,                   0,             0.79861,             0.44097,             0.55329,             0.17014,            0.083679,           0.0089454,                   0,            0.040108,            0.002108,            0.002108
                  21,            0.090452,            0.012141,                   0,             0.75533,             0.33333,             0.40115,             0.15026,            0.095103,           0.0077407,                   0,            0.036996,           0.0019955,           0.0019955
                  22,            0.088099,            0.010765,                   0,             0.81308,             0.55556,             0.59164,              0.2052,            0.089869,            0.008155,                   0,            0.033863,           0.0018632,           0.0018632
                  23,             0.10134,            0.010596,                   0,             0.75409,             0.55556,             0.58669,              0.2714,            0.089192,           0.0080289,                   0,            0.030711,           0.0017111,           0.0017111
                  24,            0.084891,            0.013318,                   0,             0.70628,             0.55556,             0.56712,             0.22176,            0.088922,           0.0081044,                   0,            0.027539,           0.0015392,           0.0015392
                  25,            0.093137,            0.012779,                   0,             0.68338,                 0.5,             0.51423,             0.21762,            0.088855,            0.009396,                   0,            0.024347,           0.0013475,           0.0013475
                  26,            0.086231,            0.011535,                   0,             0.67817,                 0.5,             0.54212,             0.22341,            0.083762,           0.0095539,                   0,            0.021136,            0.001136,            0.001136
                  27,            0.086848,            0.011646,                   0,             0.68622,             0.60771,             0.61051,             0.17037,            0.081241,           0.0091697,                   0,            0.017905,           0.0009047,           0.0009047
                  28,            0.084639,            0.011673,                   0,             0.62458,             0.61111,             0.60682,               0.184,            0.079694,           0.0094621,                   0,            0.014654,           0.0006536,           0.0006536
                  29,            0.092819,            0.012785,                   0,             0.69925,             0.55556,             0.60865,             0.16531,            0.079826,           0.0094538,                   0,            0.011383,           0.0003827,           0.0003827
